,212142,299129,285,183018,24298,132285,134409,425241,16712,16816
index,173.0,162.0,,42.0,369.0,292.0,416.0,335.0,212.0,370.0
unittypeitemid,,,,,Flat,,,,,Flat
units,1.0,1.0,,1.0,86.0,1.0,1.0,1.0,1.0,67.0
sqft,,,,,685,,,,,500
beds,3.0,4.0,2,3.0,2,3.0,4.0,3.0,4.0,S
baths,2.0,3.0,2.0,3.0,1,1.0,2.0,3.0,4.0,1
major,324700,439701,268870,277160,787940,206480,212203,785330,029376,616390
minor,0010,0340,1310,5101,0030,0880,9105,2160,0240,1521
nbrbldgs,,,,,1,,,,,1
nbrstories,,,13,,7,,,,,7
nbrunits,,,,,208,,,,,243
avgunitsize,,,,,597,,,,,835
projectlocation,,,AVERAGE,,AVERAGE,,,,,AVERAGE
projectappeal,,,AVERAGE,,AVERAGE,,,,,AVERAGE
pcntwithview,,,,,0,,,,,0
constrclass,,,REINFORCED CONCRETE,,WOOD FRAME,,,,,WOOD FRAME
bldgquality,,,AVERAGEGOOD,,AVERAGEGOOD,,,,,AVERAGE
condition,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average
yrbuilt,1960,1996,2008,1994,2004,1969,1973,2006,2003,2018
yrrenovated,0,0,2008,0,2007,0,0,0,0,2018
elevators,,,0,,0,,,,, 
sectysystem,,,0,,0,,,,, 
fireplace,,,0,,0,,,,, 
laundry,,,0,,PRIVATE,,,,,PRIVATE
addrline,1859 N 200TH ST,14614 SE 244TH ST,2911 2ND AVE #803,1309 W NEWTON ST,PO BOX 2170,PO BOX 1659,7009 SW 240TH ST,34302 SE CARMICHAEL ST,23289 SE 52ND ST,6710 E CAMELBACK RD STE 100
citystate,SHORELINE WA,KENT  WA,SEATTLE WA,SEATTLE  WA,LYNNWOOD  WA,MERCER ISLAND  WA,VASHON WA,SNOQUALMIE WA,ISSAQUAH WA,SCOTTSDALE AZ
rpzip,98133,98042     ,98121,98119,98036,98040,98070,98065,98027,85251
taxvalreason,  ,  ,  ,  ,NP,  ,  ,  ,  ,  
apprlandval,235000,154000,95400,467000,3947200,310000,170000,237000,373000,3914400
apprimpsval,243000,394000,808600,436000,27685200,198000,439000,306000,800000,21322200
proptype,R,R,K,R,C,R,R,R,R,C
districtname,SHORELINE,KENT,SEATTLE,SEATTLE,SEATTLE,NEWCASTLE,KING COUNTY,SNOQUALMIE,ISSAQUAH,SHORELINE
currentzoning,R6,SR-4.5,DMR/C 145/75,LR1 (M),C2-75 (M),R-6,RA5,MU,SF-SL,CB
presentuse,Single FamilyRes UseZone,Single FamilyRes UseZone,CondominiumMixed Use,Single FamilyRes UseZone,Apartment,Single FamilyRes UseZone,Single FamilyRes UseZone,Single FamilyRes UseZone,Single FamilyRes UseZone,Apartment
sqftlot,7406,9592,25440,2800,29775,7419,204732,4362,11531,81550
watersystem,WATER DISTRICT,WATER DISTRICT,WATER DISTRICT,WATER DISTRICT,WATER DISTRICT,WATER DISTRICT,PRIVATE,WATER DISTRICT,WATER DISTRICT,WATER DISTRICT
sewersystem,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PRIVATE,PUBLIC,PUBLIC,PUBLIC
access,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC,PUBLIC
topography,0,0,0,0,0,0,0,0,0,0
streetsurface,PAVED,PAVED,PAVED,PAVED,PAVED,PAVED,PAVED,PAVED,PAVED,PAVED
inadequateparking,2,0,2,2,2,2,2,0,2,2
mtrainier,0,0,0,0,0,0,0,0,0,0
olympics,0,0,0,0,0,0,0,0,0,0
cascades,0,0,0,0,0,0,0,0,0,0
territorial,0,0,0,0,0,0,0,0,0,0
seattleskyline,0,0,0,0,0,0,0,0,0,0
pugetsound,0,0,0,0,0,0,0,0,0,0
lakewashington,0,0,0,0,0,0,0,0,0,0
lakesammamish,0,0,0,0,0,0,0,0,0,0
smalllakerivercreek,0,0,0,0,0,0,0,0,0,0
otherview,0,0,0,0,0,0,0,0,0,0
wfntlocation,0,0,0,0,0,0,0,0,0,0
wfntfootage,0,0,0,0,0,0,0,0,0,0
trafficnoise,MODERATE,0,0,0,0,0,0,0,0,0
powerlines,0,0,0,0,0,0,0,0,0,0
othernuisances,0,0,0,0,0,0,0,0,0,0
adjacentgolffairway,0,0,0,0,0,0,0,0,0,0
adjacentgreenbelt,0,0,0,0,0,0,0,0,0,0
apt,,,,,1.0,,,,,1.0
hu,1.0,1.0,,1.0,416.0,1.0,1.0,1.0,1.0,243.0
landperunit,7406.0,9592.0,,2800.0,71.57451923076923,7419.0,204732.0,4362.0,11531.0,335.59670781893004
landvalunit,235000.0,154000.0,,467000.0,9488.461538461539,310000.0,170000.0,237000.0,373000.0,16108.641975308641
impsvalunit,243000.0,394000.0,,436000.0,66550.96153846153,198000.0,439000.0,306000.0,800000.0,87745.67901234567
bldgnbr,1,1,,1,,1,1,1,1,
stories,1,2,,2,,1,2,2,2,
bldggrade,7  Average,9  Better,,8  Good,,7  Average,7  Average,7  Average,10 Very Good,
bldggradevar,0,0,,0,,0,0,0,0,
sqfttotliving,1370,2650,,1730,,1410,3260,2060,3630,
sqftgaragebasement,0,0,,400,,620,0,0,0,
sqftgarageattached,460,680,,0,,0,620,420,740,
sqftfinbasement,0,0,,100,,360,600,0,0,
heatsystem,5,5,,5,,5,5,5,5,
heatsource,2,2,,2,,2,1,2,2,
brickstone,0,0,,0,,0,0,0,0,
res,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,
unittype,,,Flat,,,,,,,
unitquality,,,Average,,,,,,,
footage,,,1226,,,,,,,
complextype,,,CondoResidentialCommercial,,,,,,,
aptconversion,,,0,,,,,,,
condo,,,1.0,,,,,,,
